,DocumentRatingSource,FlownMonth,AgentCode,AgentName,POS,POSCountryName,OriginCode,CargoType,ProductCode,SpecialHandlingCodeList,CommodityCode,ChargeableWeight,Pieces,Revenue,WeightPerPiece,BinnedWeight,BinnedPieces,RevenuePerPiece,RevenueToMean
0,XXXX,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,YYY,X,RWCBA,RC,21.0,1,15.05,21.0,0,0,15.05,0.0
1,XXXX,SEPTEMBER,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,YYY,X,RWCBA,ZW,13.2,1,9.46,13.2,0,0,9.46,-5.967499999999998
2,XXXX,SEPTEMBER,PJMIGRN,PJMIGWSX3CI1SROQTOOFWTJYDDMKEH,JLL,LVSSPJMDKYSQRCHI,JLL,YYY,X,RWCBA,ZW,15.6,1,9.16,15.6,0,0,9.16,5.1375
3,XXXX,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,YYY,X,RWCBA,ZW,3.0,1,2.15,3.0,0,0,2.15,-3.8725
4,XXXX,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BW,12.0,1,17.08,12.0,0,0,17.08,8.325
5,XXXX,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BW,4.2,1,5.98,4.2,0,0,5.98,1.495
6,XXXX,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,RU,7.2,1,10.25,7.2,0,0,10.25,2.1684615384615373
7,XXXX,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,YYY,Y,RWCBA,B2324,30.3,1,274.02099999999996,30.3,0,0,274.02099999999996,-24.327500000000043
8,XXXX,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BW,0.3,1,0.43,0.3,0,0,0.43,-8.325
9,XXXX,NOVEMBER ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,RU,9.9,1,14.09,9.9,0,0,14.09,7.834117647058823
10,XXXX,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BM,0.3,1,0.43,0.3,0,0,0.43,-1.495
11,XXXX,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BW,0.3,1,0.43,0.3,0,0,0.43,-4.055000000000001
12,XXXX,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,YYY,Y,RWCBA,B2324,180.0,3,1606.3329999999999,60.0,0,0,535.4443333333332,237.09583333333325
13,XXXX,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BW,4.5,1,6.41,4.5,0,0,6.41,1.9249999999999998
14,XXXX,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BM,2.4,1,3.42,2.4,0,0,3.42,1.4949999999999999
15,XXXX,SEPTEMBER,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,YYY,X,RWCBA,RU,11.7,1,3.705,11.7,0,0,3.705,1.87625
16,XXXX,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,YYY,Y,RWCBA,B2324,210.0,3,1870.904,70.0,0,0,623.6346666666667,325.2861666666667
17,XXXX,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,RU,0.3,1,0.43,0.3,0,0,0.43,-6.561875000000001
18,XXXX,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,YYY,X,RWCBA,BW,3.6,1,5.12,3.6,0,0,5.12,0.6349999999999998
19,XXXX,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,YYY,Y,RWCBA,B2324,60.0,2,180.0,30.0,0,0,90.0,-208.3485
20,XXXX,SEPTEMBER,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,YYY,X,RWCBA,RL,2.1,1,0.665,2.1,0,0,0.665,0.0
